id,date,uniq_id,product_name,manufacturer,price,average_review_rating,city,country,latitude,longitude
1,2022-01-11,eac7efa5dbd3d667f26eb3d3ab504464,Hornby 2014 Catalogue,Hornby,7.42,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
2,2022-01-12,eac7efa5dbd3d667f26eb3d3ab504465,Hornby 2014 Catalogue,Hornby,6.32,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
3,2022-01-13,eac7efa5dbd3d667f26eb3d3ab504466,Hornby 2014 Catalogue,Hornby,8.46,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
4,2022-01-14,eac7efa5dbd3d667f26eb3d3ab504467,Hornby 2014 Catalogue,Hornby,6.42,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
5,2022-01-15,eac7efa5dbd3d667f26eb3d3ab504468,Hornby 2014 Catalogue,Hornby,9.37,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
6,2022-01-16,eac7efa5dbd3d667f26eb3d3ab504469,Hornby 2014 Catalogue,Hornby,6.23,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
7,2022-01-17,eac7efa5dbd3d667f26eb3d3ab504470,Hornby 2014 Catalogue,Hornby,7.42,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
8,2022-01-18,eac7efa5dbd3d667f26eb3d3ab504471,Hornby 2014 Catalogue,Hornby,7.42,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
9,2022-01-19,eac7efa5dbd3d667f26eb3d3ab504472,Hornby 2014 Catalogue,Hornby,6.32,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
10,2022-01-20,eac7efa5dbd3d667f26eb3d3ab504473,Hornby 2014 Catalogue,Hornby,8.46,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
11,2022-01-21,eac7efa5dbd3d667f26eb3d3ab504474,Hornby 2014 Catalogue,Hornby,6.42,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
12,2022-01-22,eac7efa5dbd3d667f26eb3d3ab504475,Hornby 2014 Catalogue,Hornby,9.42,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
13,2022-01-23,eac7efa5dbd3d667f26eb3d3ab504476,Hornby 2014 Catalogue,Hornby,6.45,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
14,2022-01-24,eac7efa5dbd3d667f26eb3d3ab504477,Hornby 2014 Catalogue,Hornby,9.42,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
15,2022-01-25,eac7efa5dbd3d667f26eb3d3ab504478,Hornby 2014 Catalogue,Hornby,6.23,4.9 out of 5 stars,Aarhus,Denmark,57.05N,10.33E
